SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,latitude,longitude,IS SHORT SALE
Past Sale,Single Family Residential,214 Velvetlake Dr,Sunnyvale,CA,94089,,3,2,94089,1108,,1957,,,,,,,,,,42121,670000,http://www.redfin.com/CA/Sunnyvale/214-Velvetlake-Dr-94089/home/1173549,,,,N,Y,37.392247,-121.997637,
Past Sale,Condo/Coop,467 Costa Mesa Ter Unit C,SUNNYVALE,CA,94085,675000,2,2,SUNNYVALE,1012,1034,1985,2,Garage,,Sold,,,,,675000,42355,715000,http://www.redfin.com/CA/Sunnyvale/467-Costa-Mesa-Ter-94085/unit-C/home/629126,MLSListings Inc. (MLSLI),ML81522227,Sereno Group,N,Y,37.392258,-122.045234,0
Past Sale,Condo/Coop,467 Costa Mesa Ter Apt A,Sunnyvale,CA,94085,,3,2,94085,1094,,1985,,,,,,,,,,42069,680000,http://www.redfin.com/CA/Sunnyvale/467-Costa-Mesa-Ter-94085/unit-A/home/979746,,,,N,Y,37.392258,-122.045234,
Past Sale,Single Family Residential,604 Mariposa Ave,Mountain View,CA,94041,,3,2,94041,1413,,1947,,,,,,,,,,42110,1800000,http://www.redfin.com/CA/Mountain-View/604-Mariposa-Ave-94041/home/616570,,,,N,Y,37.392267,-122.091427,
Past Sale,Single Family Residential,685 Carolina Ave,SUNNYVALE,CA,94085,829000,3,1,SUNNYVALE,1146,6371,1953,2,Garage,,Sold,,,,,829000,42359,860000,http://www.redfin.com/CA/Sunnyvale/685-Carolina-Ave-94085/home/564838,MLSListings Inc. (MLSLI),ML81521939,Jones & Company Realtors,N,Y,37.392275,-122.017314,0
Past Sale,Single Family Residential,141 Ada Ave,Mountain View,CA,94043,,4,3.5,94043,2017,,2015,,,,,,,,,,42185,1507000,http://www.redfin.com/CA/Mountain-View/141-Ada-Ave-94043/home/101823389,,,,N,Y,37.3922901,-122.0655501,
Past Sale,Townhouse,364 Bryant St,MOUNTAIN VIEW,CA,94041,1500000,3,2.5,MOUNTAIN VIEW,1620,585,2002,2,Garage,,Sold,,,,,1388000,42235,1450000,http://www.redfin.com/CA/Mountain-View/364-Bryant-St-94041/home/1055570,MLSListings Inc. (MLSLI),ML81472172,Action Properties,N,Y,37.392363,-122.081537,0
Past Sale,Condo/Coop,222 View St,MOUNTAIN VIEW,CA,94041,1399000,2,2,MOUNTAIN VIEW,1451,,2007,2,Garage,,Sold,,,,,1399000,42332,1520000,http://www.redfin.com/CA/Mountain-View/222-View-St-94041/home/17042130,MLSListings Inc. (MLSLI),ML81520189,Campi Properties,N,Y,37.392395,-122.077574,0
Past Sale,Single Family Residential,104 Alvarado Ave,LOS ALTOS,CA,94022,2800000,3,2,LOS ALTOS,1400,21910,1937,2,Garage,,Sold,,,,,2800000,42276,3500000,http://www.redfin.com/CA/Los-Altos/104-Alvarado-Ave-94022/home/1254791,MLSListings Inc. (MLSLI),ML81498676,Realty World-MBA,N,Y,37.392409,-122.111878,0
Past Sale,Single Family Residential,206 Bush St,MOUNTAIN VIEW,CA,94041,1399000,3,2,MOUNTAIN VIEW,1128,6056,1904,1,Garage,,Sold,,,,,1399000,42268,1575000,http://www.redfin.com/CA/Mountain-View/206-Bush-St-94041/home/1148095,MLSListings Inc. (MLSLI),ML81499300,Intero Real Estate Services,N,Y,37.392414,-122.075926,0
